,title,url,clean_title
124,"Back-up-Plan,-The","https://www.imsdb.com/scripts/Back-up-Plan,-The.html","Back-up Plan, The"
125,Backdraft,https://www.imsdb.com/scripts/Backdraft.html,Backdraft
126,Bad-Boys,https://www.imsdb.com/scripts/Bad-Boys.html,Bad Boys
127,Bad-Country,https://www.imsdb.com/scripts/Bad-Country.html,Bad Country
128,Bad-Day-at-Black-Rock,https://www.imsdb.com/scripts/Bad-Day-at-Black-Rock.html,Bad Day at Black Rock
129,Bad-Dreams,https://www.imsdb.com/scripts/Bad-Dreams.html,Bad Dreams
130,Bad-Lieutenant,https://www.imsdb.com/scripts/Bad-Lieutenant.html,Bad Lieutenant
131,Bad-Santa,https://www.imsdb.com/scripts/Bad-Santa.html,Bad Santa
132,Bad-Teacher,https://www.imsdb.com/scripts/Bad-Teacher.html,Bad Teacher
133,Badlands,https://www.imsdb.com/scripts/Badlands.html,Badlands
134,Bamboozled,https://www.imsdb.com/scripts/Bamboozled.html,Bamboozled
135,Barry-Lyndon,https://www.imsdb.com/scripts/Barry-Lyndon.html,Barry Lyndon
136,Barton-Fink,https://www.imsdb.com/scripts/Barton-Fink.html,Barton Fink
137,Basic,https://www.imsdb.com/scripts/Basic.html,Basic
138,Basic-Instinct,https://www.imsdb.com/scripts/Basic-Instinct.html,Basic Instinct
139,Basquiat,https://www.imsdb.com/scripts/Basquiat.html,Basquiat
140,Batman,https://www.imsdb.com/scripts/Batman.html,Batman
141,Batman-2,https://www.imsdb.com/scripts/Batman-2.html,Batman 2
147,"Battle-of-Shaker-Heights,-The","https://www.imsdb.com/scripts/Battle-of-Shaker-Heights,-The.html","Battle of Shaker Heights, The"
148,Battle-Los-Angeles,https://www.imsdb.com/scripts/Battle-Los-Angeles.html,Battle: Los Angeles
149,"Beach,-The","https://www.imsdb.com/scripts/Beach,-The.html","Beach, The"
150,Bean,https://www.imsdb.com/scripts/Bean.html,Bean
151,Beasts-of-No-Nation,https://www.imsdb.com/scripts/Beasts-of-No-Nation.html,Beasts of No Nation
152,Beasts-of-the-Southern-Wild,https://www.imsdb.com/scripts/Beasts-of-the-Southern-Wild.html,Beasts of the Southern Wild
153,Beauty-and-the-Beast,https://www.imsdb.com/scripts/Beauty-and-the-Beast.html,Beauty and the Beast
154,Beavis-and-Butt-head-Do-America,https://www.imsdb.com/scripts/Beavis-and-Butt-head-Do-America.html,Beavis and Butt-head Do America
155,Beginners,https://www.imsdb.com/scripts/Beginners.html,Beginners
156,Being-Human,https://www.imsdb.com/scripts/Being-Human.html,Being Human
157,Being-John-Malkovich,https://www.imsdb.com/scripts/Being-John-Malkovich.html,Being John Malkovich
158,Being-There,https://www.imsdb.com/scripts/Being-There.html,Being There
159,"Believer,-The","https://www.imsdb.com/scripts/Believer,-The.html","Believer, The"
160,Belle,https://www.imsdb.com/scripts/Belle.html,Belle
161,Beloved,https://www.imsdb.com/scripts/Beloved.html,Beloved
163,"Best-Exotic-Marigold-Hotel,-The","https://www.imsdb.com/scripts/Best-Exotic-Marigold-Hotel,-The.html","Best Exotic Marigold Hotel, The"
164,Big,https://www.imsdb.com/scripts/Big.html,Big
165,"Big-Blue,-The","https://www.imsdb.com/scripts/Big-Blue,-The.html","Big Blue, The"
166,Big-Eyes,https://www.imsdb.com/scripts/Big-Eyes.html,Big Eyes
167,Big-Fish,https://www.imsdb.com/scripts/Big-Fish.html,Big Fish
168,"Big-Lebowski,-The","https://www.imsdb.com/scripts/Big-Lebowski,-The.html","Big Lebowski, The"
169,"Big-Sick,-The","https://www.imsdb.com/scripts/Big-Sick,-The.html","Big Sick, The"
170,"Big-White,-The","https://www.imsdb.com/scripts/Big-White,-The.html","Big White, The"
171,Birdman,https://www.imsdb.com/scripts/Birdman.html,Birdman
172,"Birds,-The","https://www.imsdb.com/scripts/Birds,-The.html","Birds, The"
173,Birthday-Girl,https://www.imsdb.com/scripts/Birthday-Girl.html,Birthday Girl
174,"Black-Dahlia,-The","https://www.imsdb.com/scripts/Black-Dahlia,-The.html","Black Dahlia, The"
175,Black-Panther,https://www.imsdb.com/scripts/Black-Panther.html,Black Panther
176,Black-Rain,https://www.imsdb.com/scripts/Black-Rain.html,Black Rain
177,Black-Snake-Moan,https://www.imsdb.com/scripts/Black-Snake-Moan.html,Black Snake Moan
178,Black-Swan,https://www.imsdb.com/scripts/Black-Swan.html,Black Swan
179,BlacKkKlansman,https://www.imsdb.com/scripts/BlacKkKlansman.html,BlacKkKlansman
180,Blade,https://www.imsdb.com/scripts/Blade.html,Blade
182,Blade-Runner,https://www.imsdb.com/scripts/Blade-Runner.html,Blade Runner
